t,x,y
1318,4.4,5.2
1319,4.8,5.2
1320,5.2,5.4
1321,5.2,5.8
1322,5.4,6.2
1323,5.8,6.2
1324,6.2,6.4
1325,6.2,6.8
1326,6.4,7.2
1327,6.8,7.2
1328,7.2,7.4
1329,7.2,7.8
1330,7.4,8.2
1331,7.8,8.2
1332,8.2,8.4
1333,8.2,8.8
1334,8.4,9.2
1335,8.8,9.2
1336,9.2,9.4
1337,9.2,9.8
1338,9.4,10.2
1339,9.8,10.2
1340,10.2,10.4
1341,10.2,10.8
1342,10.4,11.2
1343,10.8,11.2
1344,11.2,11.4
1345,11.2,11.8
1346,11.4,12.2
1347,11.8,12.2
1348,12.2,12.4
1349,12.2,12.8
1350,12.4,13.2
1351,12.8,13.2
1352,13.2,13.4
1353,13.2,13.8
1354,13.4,14.2
1355,13.8,14.2
1356,14.2,14.4
1357,14.2,14.8
1358,14.4,15.2
1359,14.8,15.2
1360,15.2,15.4
1361,15.2,15.8
1362,15.4,16.2
1363,15.8,16.2
1364,16.2,16.4
1365,16.2,16.8
1366,16.4,17.2
1367,16.8,17.2
1368,17.2,17.4
1369,17.2,17.8
1370,17.4,18.2
1371,17.8,18.2
1372,18.2,18.4
1373,18.2,18.8
1374,18.4,19.2
1375,18.8,19.2
1376,19.2,19.4
1377,19.2,19.8
1378,19.4,20.2
1379,19.8,20.2
1380,20.2,20.4
1381,20.2,20.8
1382,20.4,21.2
1383,20.8,21.2
1384,21.2,21.4
1385,21.2,21.8
1386,21.4,22.2
1387,21.8,22.2
1388,22.2,22.4
1389,22.2,22.8
1390,22.4,23.2
1391,22.8,23.2
1392,23.2,23.4
1393,23.2,23.8
1394,23.4,24.2
1395,23.8,24.2
1396,24.2,24.4
1397,24.2,24.8
1398,24.4,25.2
1399,24.8,25.2
1400,25.2,25.4
1401,25.2,25.8
1402,25.4,26.2
1403,25.8,26.2
1404,26.2,26.4
1405,26.2,26.8
1406,26.4,27.2
1407,26.8,27.2
1408,27.2,27.4
1409,27.2,27.8
1410,27.4,28.2
1411,27.8,28.2
1412,28.2,28.4
1413,28.2,28.8
1414,28.4,29.2
1415,28.8,29.2
1416,29.2,29.4
1417,29.2,29.8
1418,29.4,30.2
1419,29.8,30.2
1420,30.2,30.4
1421,30.2,30.8
1422,30.4,31.2
1423,30.8,31.2
1424,31.2,31.4
